 schemaname |       tablename       |                    policyname                    | permissive |      roles      |  cmd   |                                                                                               qual                                                                                               
------------+-----------------------+--------------------------------------------------+------------+-----------------+--------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 public     | activity_log          | Org members can view activity log                | PERMISSIVE | {authenticated} | SELECT | (org_id IN ( SELECT org_members.org_id                                                                                                                                                          +
            |                       |                                                  |            |                 |        |    FROM org_members                                                                                                                                                                             +
            |                       |                                                  |            |                 |        |   WHERE (org_members.user_id = auth.uid())))
 public     | activity_log          | Org owners can view billing logs                 | PERMISSIVE | {authenticated} | SELECT | ((category = 'billing'::text) AND (org_id IN ( SELECT org_members.org_id                                                                                                                        +
            |                       |                                                  |            |                 |        |    FROM org_members                                                                                                                                                                             +
            |                       |                                                  |            |                 |        |   WHERE ((org_members.user_id = auth.uid()) AND (org_members.role = 'owner'::org_role)))))
 public     | activity_log          | Service role can insert activity logs            | PERMISSIVE | {authenticated} | INSERT | 
 public     | activity_log          | activity_log_insert                              | PERMISSIVE | {public}        | INSERT | 
 public     | activity_log          | activity_log_select                              | PERMISSIVE | {public}        | SELECT | is_org_member(org_id)
 public     | activity_log_archive  | org_admins_view_archived_logs                    | PERMISSIVE | {public}        | SELECT | (org_id IN ( SELECT org_members.org_id                                                                                                                                                          +
            |                       |                                                  |            |                 |        |    FROM org_members                                                                                                                                                                             +
            |                       |                                                  |            |                 |        |   WHERE ((org_members.user_id = auth.uid()) AND (org_members.role = ANY (ARRAY['owner'::org_role, 'admin'::org_role])))))
 public     | activity_log_archive  | service_role_manage_archive                      | PERMISSIVE | {public}        | ALL    | ((auth.jwt() ->> 'role'::text) = 'service_role'::text)
 public     | advancing_comments    | adv_comments_insert                              | PERMISSIVE | {public}        | INSERT | 
 public     | advancing_comments    | adv_comments_select                              | PERMISSIVE | {public}        | SELECT | is_org_member(org_id)
 public     | advancing_comments    | advancing_comments_delete                        | PERMISSIVE | {public}        | DELETE | is_org_editor_and_active(org_id)
 public     | advancing_comments    | advancing_comments_insert                        | PERMISSIVE | {public}        | INSERT | 
 public     | advancing_comments    | advancing_comments_update                        | PERMISSIVE | {public}        | UPDATE | is_org_editor_and_active(org_id)
 public     | advancing_documents   | adv_docs_delete                                  | PERMISSIVE | {public}        | DELETE | (EXISTS ( SELECT 1                                                                                                                                                                              +
            |                       |                                                  |            |                 |        |    FROM advancing_sessions s                                                                                                                                                                    +
            |                       |                                                  |            |                 |        |   WHERE ((s.id = advancing_documents.session_id) AND is_org_member(s.org_id))))
 public     | advancing_documents   | adv_docs_select                                  | PERMISSIVE | {public}        | SELECT | (EXISTS ( SELECT 1                                                                                                                                                                              +
            |                       |                                                  |            |                 |        |    FROM advancing_sessions s                                                                                                                                                                    +
            |                       |                                                  |            |                 |        |   WHERE ((s.id = advancing_documents.session_id) AND (is_org_member(s.org_id) OR has_show_access(s.show_id, 'view'::text)))))
 public     | advancing_documents   | adv_docs_update                                  | PERMISSIVE | {public}        | UPDATE | (EXISTS ( SELECT 1                                                                                                                                                                              +
            |                       |                                                  |            |                 |        |    FROM advancing_sessions s                                                                                                                                                                    +
            |                       |                                                  |            |                 |        |   WHERE ((s.id = advancing_documents.session_id) AND (is_org_member(s.org_id) OR has_show_access(s.show_id, 'edit'::text)))))
 public     | advancing_documents   | adv_docs_write                                   | PERMISSIVE | {public}        | INSERT | 
 public     | advancing_documents   | advancing_documents_delete                       | PERMISSIVE | {public}        | DELETE | is_org_editor_and_active(org_id)
 public     | advancing_documents   | advancing_documents_insert                       | PERMISSIVE | {public}        | INSERT | 
 public     | advancing_documents   | advancing_documents_update                       | PERMISSIVE | {public}        | UPDATE | is_org_editor_and_active(org_id)
 public     | advancing_fields      | adv_fields_delete                                | PERMISSIVE | {public}        | DELETE | (EXISTS ( SELECT 1                                                                                                                                                                              +
            |                       |                                                  |            |                 |        |    FROM advancing_sessions s                                                                                                                                                                    +
            |                       |                                                  |            |                 |        |   WHERE ((s.id = advancing_fields.session_id) AND is_org_member(s.org_id))))
 public     | advancing_fields      | adv_fields_insert                                | PERMISSIVE | {public}        | INSERT | 
 public     | advancing_fields      | adv_fields_select                                | PERMISSIVE | {public}        | SELECT | (is_org_member(org_id) OR (EXISTS ( SELECT 1                                                                                                                                                    +
            |                       |                                                  |            |                 |        |    FROM (advancing_sessions s                                                                                                                                                                   +
            |                       |                                                  |            |                 |        |      JOIN show_collaborators sc ON ((sc.show_id = s.show_id)))                                                                                                                                  +
            |                       |                                                  |            |                 |        |   WHERE ((s.id = advancing_fields.session_id) AND (sc.user_id = auth.uid())))))
 public     | advancing_fields      | adv_fields_update                                | PERMISSIVE | {public}        | UPDATE | (EXISTS ( SELECT 1                                                                                                                                                                              +
            |                       |                                                  |            |                 |        |    FROM advancing_sessions s                                                                                                                                                                    +
            |                       |                                                  |            |                 |        |   WHERE ((s.id = advancing_fields.session_id) AND (is_org_member(s.org_id) OR has_show_access(s.show_id, 'edit'::text)))))
 public     | advancing_fields      | advancing_fields_delete                          | PERMISSIVE | {public}        | DELETE | is_org_editor_and_active(org_id)
 public     | advancing_fields      | advancing_fields_insert                          | PERMISSIVE | {public}        | INSERT | 
 public     | advancing_fields      | advancing_fields_update                          | PERMISSIVE | {public}        | UPDATE | is_org_editor_and_active(org_id)
 public     | advancing_sessions    | adv_sessions_delete                              | PERMISSIVE | {public}        | DELETE | is_org_editor_and_active(org_id)
 public     | advancing_sessions    | adv_sessions_insert                              | PERMISSIVE | {public}        | INSERT | 
